                                                                                                                                                                                                             ?
©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤jowu@jowu-pset:/drives/e/workspace/script/python$ cat snap.log  | grep 871 | grep -E '\[end|begin\]'
I/start   (  871): [TC:76234][TT:10100] [statusbar] [NQStatusBar::checkWifiConn()] [delete sta wifi icon display begin]
I/start   (  871): [TC:76234][TT:10100] [statusbar] [NQStatusBar::updateInitialDisplay()] [check phone connect icon display begin]
I/start   (  871): [TC:76234][TT:10100] [statusbar] [NQStatusBar::checkWifiConn()] [check phone connect icon index begin]
I/start   (  871): [TC:76234][TT:10100] [statusbar] [NQStatusBar::checkWifiConn()] [get system info fc log begin]
I/start   (  871): [TC:76266][TT:10105] [statusbar] [NQStatusBar::updateInitialDisplay()] [check phone battery icon display begin]
I/start   (  871): [TC:76266][TT:10105] [statusbar] [NQStatusBar::checkPhoneBattery()] [check phone battery icon index begin]
I/start   (  871): [TC:76266][TT:10105] [statusbar] [NQStatusBar::checkPhoneBattery()] [get system info fc log begin]
I/start   (  871): [TC:76290][TT:10108] [statusbar] [NQStatusBar::updateInitialDisplay()] [check phone field icon display begin]
I/start   (  871): [TC:76290][TT:10108] [statusbar] [NQStatusBar::checkPhoneEFS()] [check phone field icon index begin]
I/start   (  871): [TC:76290][TT:10108] [statusbar] [NQStatusBar::checkPhoneEFS()] [get system info fc log begin]
I/start   (  871): [TC:76309][TT:10110] [statusbar] [NQStatusBar::updateInitialDisplay()] [check dcm connect icon display begin]
